NAME,LAT,LON,ADDRESS,ZIP,OPEN_HRS_WK,VIS_FLAG,VIS_01,VIS_02,VIS_03,VIS_04,VIS_05,VIS_06,VIS_07,VIS_08,VIS_09,VIS_10,VIS_11,VIS_12,VIS_TOTAL,CIRC_01,CIRC_02,CIRC_03,CIRC_04,CIRC_05,CIRC_06,CIRC_07,CIRC_08,CIRC_09,CIRC_10,CIRC_11,CIRC_12,CIRC_TOTAL,HP_01,HP_02,HP_03,HP_04,HP_05,HP_06,HP_07,HP_08,HP_09,HP_10,HP_11,HP_12,HP_TOTAL,HF_01,HF_02,HF_03,HF_04,HF_05,HF_06,HF_07,HF_08,HF_09,HF_10,HF_11,HF_12,HF_TOTAL,CS_01,CS_02,CS_03,CS_04,CS_05,CS_06,CS_07,CS_08,CS_09,CS_10,CS_11,CS_12,CS_TOTAL
Scottsdale,41.7493616834,-87.7243955757,4101 W. 79th Street,60652,48,NO,4311,3928,5001,4317,4327,4872,5201,6056,4660,5084,4676,3574,56007,2879,2616,3373,2807,2550,3019,3326,2845,2593,2412,2501,1959,32880,84,80,92,51,54,66,72,55,37,56,53,36,736,1022,808,1188,397,909,1173,1125,1177,1132,1138,1041,803,11824,1340,1089,1422,1250,1212,1293,1337,1623,1489,1543,1610,1123,16331
Sherman Park,41.7952794212,-87.6549207193,5440 S. Racine Avenue,60609,48,NO,4485,4361,4729,4678,4690,5398,5787,5940,4089,1277,1992,4210,51636,910,740,832,816,635,713,1121,976,666,548,615,656,9228,64,47,50,17,35,39,36,47,20,21,4,11,391,395,314,483,129,334,286,410,389,310,213,272,296,3823,1420,1368,1390,1365,1448,1335,1607,1774,1252,932,710,940,15541
South Chicago,41.7305748346,-87.54980694,9055 S. Houston Avenue,60617,48,NO,7719,6780,7116,6600,8891,8462,8470,6907,5928,8778,8947,7594,92192,2270,2183,2447,2043,1895,2118,2402,2299,2037,2100,1624,1562,24980,91,64,77,33,55,85,75,64,42,95,65,53,799,690,611,717,257,566,674,697,759,637,651,692,489,7372,2169,2069,2081,2002,2123,2303,2355,2118,2212,2271,2364,2087,26154
South Shore,41.7615553559,-87.5620836388,2505 E. 73rd Street,60649,48,NO,6972,6822,8195,7552,7369,8310,7511,9105,7312,6910,6176,5697,87931,2861,2269,2632,2013,2157,2205,2952,3490,2792,2700,2139,2317,30527,75,51,59,38,58,41,64,87,54,36,55,53,671,959,727,908,229,612,821,847,1016,926,892,744,731,9434,2903,2600,2801,2611,2670,2845,3012,3303,2557,2524,2337,2235,32398
Sulzer Regional,41.9624035811,-87.6844168495,4455 N. Lincoln Avenue,60625,68,YES,28355,26122,29257,32502,31447,34008,37212,38586,31947,33582,31703,27228,381949,34177,31377,37311,34055,33331,35679,36438,36798,32274,32816,32316,26751,403323,516,441,568,371,287,375,362,301,266,292,317,212,4308,14690,12390,15461,4798,14318,14969,14552,16024,14827,15495,14002,13151,165082,6588,6140,6708,6488,6234,6540,7088,7571,6159,6338,5982,5338,77174
Thurgood Marshall,41.7578017516,-87.6539815531,7506 S. Racine Avenue,60620,48,YES,7964,7838,7032,6738,7359,8333,9159,11551,8283,12851,4934,0,92042,2574,2249,2540,2541,2259,2470,2475,3110,2506,2884,1546,8,27162,98,119,107,71,57,58,67,72,66,110,47,0,872,721,609,855,277,748,844,819,938,749,898,702,0,8114,3143,2793,2309,2682,2564,2657,2773,3264,3074,2933,1256,0,29448
Toman,41.8420536707,-87.7249688447,2708 S. Pulaski Road,60623,48,YES,9136,8365,9275,9550,7478,10958,11916,12040,9735,13307,10028,7740,119528,5869,4871,5638,5624,4001,4933,5440,5491,5666,6273,6077,5137,65020,114,50,120,44,71,92,116,118,133,111,81,79,1129,1360,1179,1405,486,1123,1399,1401,1420,1422,1380,1362,1363,15254,2553,2619,2759,2719,2109,3150,3297,3309,2694,2596,2736,2227,32768
Uptown,41.9584452075,-87.6535101227,929 W. Buena Avenue,60613,48,YES,10555,9381,10849,10149,11802,12028,10783,11641,11437,11846,9948,9313,129732,6838,6344,7281,6580,6452,7456,7847,8013,6839,6844,6731,5900,83125,159,155,179,95,130,129,172,144,118,129,118,129,1657,4127,3512,4357,1205,3945,4260,4030,4512,3841,4031,3831,3655,45588,2170,1943,2419,2087,2228,2072,2059,2063,2044,1729,1770,1569,24153
Vodak-East Side,41.7030274782,-87.5335031847,3710 E. 106th Street,60617,48,YES,5203,5827,6907,5900,5763,5862,6098,7331,6571,6876,6312,4201,72851,3485,3140,3765,3465,3074,3417,3845,4066,3714,3858,3222,2650,41701,121,86,75,64,54,108,83,94,83,80,58,68,974,1099,901,1228,384,1229,1349,1231,1353,1217,1439,1039,1025,13474,1657,1796,2091,1744,1603,1452,1660,1796,1760,1906,1879,1304,20648
Walker,41.6924416924,-87.6741328656,11071 S. Hoyne Avenue,60643,48,NO,4284,3535,4131,3461,4239,4235,3900,3968,4056,4379,3659,3282,47129,1934,1503,1900,1757,1586,1769,2204,2057,1749,1800,1675,1575,21509,76,39,55,42,41,53,65,41,45,23,20,18,518,1098,809,1179,402,875,1058,1119,1160,1077,1086,995,856,11585,932,866,955,787,1001,762,786,902,842,993,797,734,10357
